Pregunta,Respuesta,Etiqueta
Quien es autor de 'Drácula'?,"Bram Stoker,(1847-1912).",Autor
En que lugar empieza relato de Jonathan Harker en 'Drácula'?,Bistritz.,Lugar
Cual es la fecha de inicio del viaje de Jonathan Harker en el libro?,Primer día de mayo o primer mayo al salir de Münich a las 8:35.,Fecha
Descripción del viaje de Jonathan desde Klausenburg hasta otros lugares en Drácula,"Paisajes bellos con pueblitos y castillos en colinas, ríos y arroyuelos acompañados por multitudes variadas de personas.",Landscape
Qué atuendo llevaban las mujeres según Jonathan Harker?,Largas mangas blancas y anchos cinturones con flecos adornando sus vestidos como en un ballet pero con enaguas debajo.,Dress description
Quien le envió carta al posadero para Jonathan Harker?,Conde Drácula.,Sender of letter to Innkeeper
Que instrucciones recibió Jonathan Harker de la carta del Conde Drácula?,Saldría la diligencia para Bucovina y su carruaje lo esperaría en Desfiladero de Borgo llevándolo a su casa.,Instructions from Count Dracula
Que frutos del diccionario poliglot identifica Jonathan durante su discusión con el conductor?,"Ordog (Satanás), pokol (infierno), stregoica (bruja), vrolok y vlkoslak (ambos significan hombre lobo o vampiro).",Vocabulario
Descripción de la carrera durante el viaje de Jonathan hasta Borgo Pass en el libro Drácula?,"Carreras entre colinas verdes y bosques de pino llamadas 'Tierra Media'. El camino es aspero pero rápido, atravesando flores e invisibles fronteras nacionales.",Paisaje viaje
Descripción sobre la visita de Jonathan Harker hacia campesinos en su viaje por los Cárpatos?,En cada uno de los carromatos encontraba grupos de campesinos blancoeslovacos o checos con sus pieles tradicionales y largas duelas. La noche caía y el frío aumentaba mientras descubría bellas características como hachas en las lanzas y grupos de sauces llorones brillantes entre los verdosos árboles.,Campesinos y paisaje
Descripción sobre el entrido en el desfiladero de Borgo en la narración?,Una atmósfera tensa y oscura envolvía el lugar. Montañas parecían acercarse a los viajeros como si intentaran estrangularlos y nubes tenebrosas se balanceaban sobre ellos mientras ingresaban al desfiladero. La noche era intensamente profunda y la sensación de un mal presente se hacía sentir.,Entrada al desfiladero de Borgo
Descripción sobre la llegada de Jonathan Harker al hogar del Conde Drácula mediante una carruza?,"Jonathan es llevado por un misterioso conductor hacia Bucovina en medio de una noche fría y oscura. En el camino, observa a sus caballos negros poderosos y a su conductor alto con barba grisácea que se mantiene reservado sobre los motivos de la prisa del viaje.",Llegada a Bucovina e introducción al Conde Drácula
Cual es el efecto del fósforo en relato de Jonathan Harker?,Ilumina para que mirara su reloj.,Acción
Que comienza una serie de aullidos después de encender el fósforo?,Un aterrador concierto de aullidos por parte de los perros y luego llega el sonido más fuerte y agudo de lobos.,Supersticion y Sonido
Que ocurre con los caballos al escuchar estos aullidos?,Comienzan a temblar y pibiar pero el cochero los calma.,Reaccion Animal
Que sucede cuando Jonathan Harker ve una luz azul durante el viaje nocturno?,El cochero se detiene los caballos y se adentra en la oscuridad hasta llegar a la llama. Posteriormente empila piedras en un patrón significativo.,Llama Azul Y Acciones
Cual es el efecto psicológico que tiene sobre Jonathan Harker cuando los lobos aparecen rodeando el grupo?,Entra una especie de parálisis de miedo.,Miedo al Encuentro Con Los Lobos
Donde llega el viaje nocturno de Jonathan Harker?,Al patio interior de un inmenso castillo ruinoso.,Llegada Viaje Nocturno
Quien abre puerta para Jonathan Harker en Drácula?,Un hombre alto y ya viejo vestido de negro.,Personaje
