Pregunta,Respuesta,Etiqueta
"Qué fecha marca el comienzo del viaje de Jonathan Harker hacia Transilvania?","El viaje de Jonathan Harker hacia Transilvania comienza el 3 de mayo.","Inicio viaje"
"Desde dónde sale Jonathan Harker y para qué destino viaja?","Jonathan HARKER sale desde Münich para ir a Transilvania, debido a una fecha fijada con su cliente, el Conde Drácula.","Salida/Destino"
"¿Qué plato nacional se come en Klausenburg?","El plato nacional que se come en Klausenburg es el paprika hendl (pollo con pimentón rojo), que Jonathan Harker encontró muy sabroso y lo deseaba repetir.","Comida/Bebida"
"¿Qué nacionalidades habitan Transilvania?","Transilvania posee cuatro nacionalidades principales: sajones en el sur; mezclados con ellos los valacos, descendientes de los dacios; magiares en el oeste y escequelios en el este y el norte.","Nacionalidades"
"Qué sueños tuvo Jonathan Harker al principio de su estancia en Klausenburg?","Jonathan Harker tuvo extrañas visiones nocturnas durante toda la noche y fue despertado por golpes a las puertas. Su cama era cómoda, pero el perro bajo su ventana y las copiosas dosis de pimentón que había ingerido pueden haber tenido algún papel en sus sueños.","Sueño/Pesadumbre"
"¿Qué descripción del paisaje ofrece Jonathan Harker durante el viaje al castillo de Drácula?","El camino para llegar al castillo de Drácula pasa por un país hermoso lleno de bellas colinas, ríos y multitudes de personas con atuendos variados. La inmensa cantidad de agua necesaria para limpiar la orilla de los ríos también es notoria.","Paisaje"
"¿Qué se diferencia más los eslovacos de otros campesinos europeos?","Los eslovacos son mucho más bárbaros que el resto, con su vestimenta excesivamente larga y gruesa, sus pantalones con botas altas y sombreros vaqueros. Su piel oscura y bigotes pesados también los distinguen de otros campesinos europeos.","Descripción"
"Qué descripción hace Jonathan Harker de los hombres del tren?","Jonathan Harker describe a los otros pasajeros como bandoleros y señala que son tímidos y inofensivos.","Descripción personajes"
"Qué información recibe Jonathan Harker al llegar a Bistritz?","Al llegar a Bistritz, Jonathan Harker es recibido por una anciana mujer que le da instrucciones y le transmite el saludo de un anciano hombre. Le da la bienvenida a los Cárpatos y le informa que está esperando ansiosamente para acogerle, pero le advierte que su viaje desde Londres haya transcurrido sin problemas. También le reserva un lugar en la diligencia para Bucovina y promete que el carruaje lo estará esperando al día siguiente.","Bienvenida"
"Qué revelaciones hace Jonathan Harker al llegar a su posada en Bistritz?","Jonathan Harker descubre que su posadero y su esposa se negaron a hablar de ningún tema relacionado con el Conde Drácula. También notó que habían actuado reticentes cuando le preguntó sobre el dinero enviado por el Conde como pago de alojamiento.","Misteriosa"
